,match_id,map,team_1_id,team_2_id,starting_ct,1_team_1_value,1_team_2_value,1_winner,2_team_1_value,2_team_2_value,2_winner,3_team_1_value,3_team_2_value,3_winner,4_team_1_value,4_team_2_value,4_winner,5_team_1_value,5_team_2_value,5_winner,6_team_1_value,6_team_2_value,6_winner,7_team_1_value,7_team_2_value,7_winner,8_team_1_value,8_team_2_value,8_winner,9_team_1_value,9_team_2_value,9_winner,10_team_1_value,10_team_2_value,10_winner,11_team_1_value,11_team_2_value,11_winner,12_team_1_value,12_team_2_value,12_winner,13_team_1_value,13_team_2_value,13_winner,14_team_1_value,14_team_2_value,14_winner,15_team_1_value,15_team_2_value,15_winner,16_team_1_value,16_team_2_value,16_winner,17_team_1_value,17_team_2_value,17_winner,18_team_1_value,18_team_2_value,18_winner,19_team_1_value,19_team_2_value,19_winner,20_team_1_value,20_team_2_value,20_winner,21_team_1_value,21_team_2_value,21_winner,22_team_1_value,22_team_2_value,22_winner,23_team_1_value,23_team_2_value,23_winner,24_team_1_value,24_team_2_value,24_winner,25_team_1_value,25_team_2_value,25_winner,26_team_1_value,26_team_2_value,26_winner,27_team_1_value,27_team_2_value,27_winner,28_team_1_value,28_team_2_value,28_winner,29_team_1_value,29_team_2_value,29_winner,30_team_1_value,30_team_2_value,30_winner
0,2350383,inferno,6651,9565,1,4200,4200,2,9350,17150,2,4200,15750,2,28750,23300,2,16900,24700,2,29600,24300,1,31350,26850,1,29750,22850,2,29450,24900,1,30050,21300,2,23800,21300,2,24000,17150,1,27050,16350,1,27850,1200,1,30350,21000,1,4300,4200,2,15150,20850,2,2100,21250,2,26200,22900,2,23100,25950,2,7950.0,28000.0,2.0,26000.0,28400.0,1.0,26950.0,30800.0,1.0,26650.0,31000.0,1.0,27550.0,28900.0,2.0,24650.0,28950.0,1.0,25600.0,23450.0,2.0,,,,,,,,,
1,2350383,vertigo,6651,9565,2,4300,3350,1,19850,8700,2,9800,22300,2,1000,23400,2,23200,24000,1,25200,27900,2,20850,24700,1,24600,14050,1,28050,7200,1,28550,23050,1,28050,8600,1,28550,26100,1,27950,6650,2,27550,27050,2,26300,26950,2,4150,4200,2,10550,20250,1,25100,12450,1,28200,1500,1,29350,22700,2,28600.0,24600.0,1.0,31850.0,4350.0,1.0,31750.0,23800.0,2.0,31950.0,23300.0,2.0,13050.0,25350.0,2.0,30250.0,25650.0,2.0,10400.0,26950.0,2.0,29150.0,27150.0,2.0,24050.0,27150.0,1.0,23300.0,27850.0,2.0
2,2350382,overpass,10503,4411,1,4350,3950,1,17100,7800,1,23950,2200,1,29000,24000,1,29050,11900,1,25750,24000,2,8500,26650,2,6250,27650,1,17450,25450,2,9550,22800,2,1650,22700,2,23550,23000,2,4550,24800,2,28100,27350,1,30550,27850,1,3250,3450,2,15800,19750,2,2600,26550,2,24900,27350,2,9000,23650,2,25800.0,31650.0,1.0,26350.0,2300.0,1.0,25650.0,22600.0,1.0,24500.0,8700.0,1.0,26150.0,27350.0,2.0,24950.0,25600.0,1.0,27050.0,18150.0,1.0,25650.0,29000.0,1.0,26550.0,31200.0,2.0,23950.0,27950.0,2.0
3,2350382,mirage,10503,4411,2,4200,4300,2,1500,21000,2,22900,21450,1,24500,7400,1,25950,5100,2,24550,28900,1,26450,19600,2,16650,29000,2,1200,28800,2,24800,29000,2,8200,32700,2,24500,33700,1,26350,25650,1,26250,21550,1,26250,20550,1,4350,4200,2,1000,19450,2,23000,23200,2,4000,24400,1,30050,20200,1,30450.0,16350.0,1.0,31650.0,2700.0,1.0,31450.0,23400.0,1.0,31550.0,13100.0,1.0,32050.0,22800.0,2.0,29850.0,27800.0,1.0,30450.0,23950.0,1.0,31750.0,21600.0,1.0,,,,,,
4,2350382,dust2,10503,4411,1,4000,4050,1,20400,2700,1,23800,20100,2,17100,23000,2,17250,20850,1,28100,19800,1,30100,5200,1,29950,21050,1,31750,7050,1,29850,24750,1,28750,10000,2,30350,26250,1,31550,12100,2,30750,25650,1,29150,18450,1,4100,4200,1,16800,6700,1,20300,1900,1,21850,26950,1,20200,28200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
